Project,Client,Description,Duration
SOS2122-10,,#10 Desplegar el proyecto del grupo,03:02:08
SOS2122-10,,#11 Crear documento con ejemplos de la API,01:26:15
SOS2122-10,,#12 Implementación de GET y POST(OPCIONAL),01:45:00
SOS2122-10,,"#13 POSTMAN API, y terminación",00:25:28
SOS2122-10,,#14 Actualizar enlace postman,01:17:32
SOS2122-10,,#15 Hacer llamadas Postman,05:12:17
SOS2122-10,,#16 Terminación POSTMAN energy-consumptions,01:56:00
SOS2122-10,,#17 Actualización README para repositorio del grupo y de la asignatura,01:16:00
SOS2122-10,,#18 Actualizar APIs,05:59:28
SOS2122-10,,#19 Añadir llamadas Postman,02:13:46
SOS2122-10,,#20 Modificación página inicial HEROKU,00:34:00
SOS2122-10,,#21 Creación FRONT-END para cada API,00:31:00
SOS2122-10,,#22 Implementar API rest en front-end,02:49:00
SOS2122-10,,#26 Actualizar código,06:17:06
SOS2122-10,,#27 ruta /info,03:32:34
SOS2122-10,,#28 Creación gráfico un colectivo de tipo line,01:44:00
SOS2122-10,,#29 Creación gráfico individual con todos los datos,01:35:00
SOS2122-10,,#3 Completar perfil Piazza,00:37:00
SOS2122-10,,#30 Creación de vídeo,00:58:13
SOS2122-10,,#31 Informe de horas,00:32:13
SOS2122-10,,#32 Gráficas propias,03:13:00
SOS2122-10,,#33 Integraciones APIs,06:21:43
SOS2122-10,,#34 Modificación gráfica común,02:04:15
SOS2122-10,,#36 Crear las nuevas gráficas,05:00:07
SOS2122-10,,#37 Hacer video y revisar fallos en la aplicacion,02:18:02
SOS2122-10,,#38 Arreglar botón edit,00:36:05
SOS2122-10,,#6 Ruta dinámica /cool,03:04:00
SOS2122-10,,Arreglando nuevas funciones D02,02:38:00
SOS2122-10,,Añadiendo Gráfica HighChart Energy Consumptions,03:32:00
SOS2122-10,,Añadir repositorio a herokuapp · Issue #5 · gti-sos/SOS2122-10,00:02:55
SOS2122-10,,"Creación de milstone ""F02""",02:00:00
SOS2122-10,,Crear al menos una issue reflejando alguna de las tareas de este feedback,00:01:15
SOS2122-10,,Crear documento con ejemplos de la API · Issue #11 · gti-sos/SOS2122-10,00:40:22
SOS2122-10,,Enlazar proyecto Github con Heroku y solucionar problemas,02:00:53
SOS2122-10,,Lectura de los mensajes en piazza.,00:02:12
SOS2122-10,,Lectura de todos los mensajes en piazza · Issue #4 · gti-sos/SOS2122-10,02:05:00
SOS2122-10,,Opcional D02,03:00:00
SOS2122-10,,Parte de la entrega revision F07,02:00:00
SOS2122-10,,Personal apps | Heroku,01:29:00
SOS2122-10,,"POSTMAN API, y terminación · Issue #13 · gti-sos/SOS2122-10",01:03:12
SOS2122-10,,"Realizado de ajustes en apps(Slack, postman, heroku)",02:06:00
SOS2122-10,,Ruta dinámica /cool,01:01:00
SOS2122-10,,Subiendo API a heroku,02:16:00
SOS2122-10,,Terminada Entrega D02,03:24:00
SOS2122-10,,Terminadas las gráficas requeridad para la entrega F09,06:00:00
SOS2122-10,,Terminando doc API,00:32:38
SOS2122-10,,Terminando POSTMAN Para entrega D01,02:00:00
